ID,FOREST,MANGROVE_FOREST,PRIVATE_FOREST,WATER_BODIES,PADDY_FIELDS/KHAZAN,ORCHARD,NATURAL_COVER,CULTIVABLE,SALT_PANS,FISH_FARM/MUD_FLATS,SETTLEMENT,INSTITUTIONAL,INDUSTRY,MIZ,TRANSPORTATION,MISC
001,0,0,0,1.58,8.32,21.53,40,16.45,0,0,10.02,0,0.03,0,2.07,0
002,0,3.73,0,17.33,33.73,10.73,4.86,0,0,0,12.44,0,15.85,0,1.33,0
003,3.76,0,0,3.8,11.86,39.94,28.74,0,0,0,10.51,0,0,0,1.39,0
004,0,0,0,2.56,15.81,11.27,24.94,10.96,0,0,27.99,0.51,4.55,0.21,1.2,0
005,2.83,0,0.17,3.17,6.04,35.79,28.87,11.77,0,0,9.15,0.08,1.29,0.12,0.74,0
006,5.55,0.56,0,2.54,16.37,16.04,35.44,6.83,0,0,14.84,0.57,0,0.28,0.99,0
007,3.18,0,0,9.04,14.05,13.3,40.75,8.45,0,0,6.2,0.31,3.73,0.37,0.62,0
008,0,0,0,1.67,13.19,36.91,25.19,10.88,0,0,10.93,0.15,0,0,1.08,0
009,0,2,0,10.49,19.92,11.17,38.53,0,0,0,14.27,0.02,0.44,0.43,2.73,0
010,0,0,0,7.12,11.71,31.41,9.27,1.45,0,0,9.09,0.78,26.85,0,2.31,0
011,0,0,0,1.54,6.07,41.19,35.23,2.43,0,0,10.55,0.08,1.71,0.22,0.99,0
012,17.1,0.96,0,6.1,3.44,40.96,13.57,3.33,0,0,11.54,1.37,0.03,0,1.6,0
013,0,1.07,0,10.73,21.8,3.19,33.64,10.27,0,0.65,12.39,0,1.72,0,4.52,0
014,5.8,0,0,2.78,15.73,7.25,14.17,43.1,0,0,9.67,0.59,0,0,0.91,0
015,0,0,0,3.4,8.47,18.21,27.75,0.19,0,0,32.68,2.54,4.35,0.69,1.71,0
016,0,0,0,7.9,29.22,40.37,1.31,2.59,0,0,10.47,0.34,0,2.14,5.65,0
017,7.7,0.26,0,4,6.8,62.03,0,4.31,0,0,11.33,0.24,1.52,0.3,1.51,0
018,33.52,0,0,1.56,8.84,10.49,15.85,3.39,0,0,24.56,0.05,0,0,1.74,0
019,0.7,0,0,1.64,7.62,30.41,9.39,10.75,0,0,31.75,2.08,5.02,0.64,0,0
