State,District,Subdistt,Town/Village,Name,AREA,T_POPLN,Class,RES_HOUSE,HOUSEHOLDS,T_M_POPLN,T_F_POPLN,POPLN_M6,POPLN_F6,M_SC,F_SC,M_ST,F_ST,M_LITERATE,F_LITERATE,T_M_WORKER,T_F_WORKER,M_INDCAT1,F_INDCAT1,M_INDCAT2,F_INDCAT2,M_INDCAT3,F_INDCAT3,M_INDCAT4,F_INDCAT4,M_INDCAT5A,F_INDCAT5A,M_INDCAT5B,F_INDCAT5B,M_INDCAT6,F_INDCAT6,M_INDCAT7,F_INDCAT7,M_INDCAT8,F_INDCAT8,M_INDCAT9,F_INDCAT9,M_MARGINAL,F_MARGINAL,M_NON_WORK,F_NON_WORK,MRGD_IN_TN,EUDU_INST,RANG_EDU_F,P_SCH,M_SCH,H_SCH,PU_COLL,GR_COLL,ADLT_LT_CN,IND_SCH,TR_SCH,OTH_SCH,MED_INST,RANG_MED_F,H_CNTR,MCW_CNTR,MH_CNTR,CWC_CNTR,PHC_CNTR,HC_CNTR,PHS_CNTR,DISP_CNTR,FPC_CNTR,TB_CNTR,NH_CNTR,CHW_CNTR,RP_CNTR,SMP_CNTR,OTH_CNTR,DRNK_WAT_F,RANG_WAT_F,TAP,WELL,TANK,TUBE_WELL,HAND_PUMP,RIVER_WATE,FOUNTAIN,CANAL,LAKE,SPRING,NALA,OTH_FAC,PNT_FAC,RANG_PNT_F,PO_FAC,TO_FAC,POST_TELE,PH_FAC,MRKT_FAC,RANG_MKT_F,MRKT_DAY_1,MRKT_DAY_2,MRKT_DAY_3,MRKT_DAY_4,MRKT_DAY_5,MRKT_DAY_6,MRKT_DAY_7,MRKT_DAY_D,MRKT_DAY_F,MRKT_DAY_M,COMM_FAC,RANG_COM_F,BS_FAC,TX_TEMP_FA,RS_FAC,NW_FAC,APP_PUC_RO,APP_KCH_RO,APP_FOOTPA,APP_NAVRIV,APP_NAVCAN,APP_NC,LOC_TOWN,DIST_FRM_T,POWER_SUPL,POWER_EDEA,POWER_EAG,POWER_EO,POWER_EA,LAND_FORES,CANAL_GOVT,WELL_WO_EL,CANAL_PVT,WELL_W_ELE,TW_WO_ELEC,TW_W_ELECT,TANK_IRR,RIVER_IRR,LAKE_IRR,WF_IRR,OTHER_IRR,TOT_IRR_AR,UN_IRG_LAN,CULT_WASTE,AREA_UN_CU
30,1,6,7,Adcolna,288.51,916,D,166,170,467,449,75,54,75,68,0,0,283,200,238,98,42,8,93,62,1,0,2,0,38,6,16,0,0,0,27,17,9,0,10,5,4,165,225,186,,1,0,3,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,,0,0,1,0,0,0,0,0,Jua,6,1,0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.19,75.54,112.39,146.55
30,2,4,16,Adnem,928.45,2301,C,426,438,1180,1121,135,121,32,30,0,0,841,605,486,139,67,15,89,46,22,1,6,0,16,17,26,3,20,0,56,14,71,1,113,42,6,87,688,895,,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,0,0,1,0,0,0,0,0,Quepem,12,1,1,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,595.04,582.38,326.42
30,2,1,23,Adsulim,19.83,87,D,15,15,44,43,6,2,0,0,0,0,31,31,21,4,3,0,0,0,0,0,0,0,0,0,5,0,0,0,6,0,2,0,5,4,0,0,23,39,,1,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,0,0,1,0,0,0,0,0,Benaulim,2,1,0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.37,2.08,0.38
30,1,5,62,Advoi,456.08,277,D,55,55,151,126,41,26,0,0,0,0,78,37,66,61,19,6,42,54,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,1,1,1,84,64,,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,0,0,1,0,0,0,0,0,Valpoi,11,1,0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.33,245.13,19.60,32.32
30,1,4,5,Adwalpale,1088.73,2315,C,379,411,1198,1117,129,140,4,3,0,0,907,582,617,229,115,32,40,12,3,0,143,2,9,7,117,131,54,23,34,7,53,0,49,15,37,119,544,769,,1,0,3,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,,0,0,0,0,0,0,1,0,0,1,0,1,,,0,0,0,,,,0,0,0,0,0,0,0,1,0,1,,,,1,,0,,0,0,Bicholim,10,1,,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.22,357.33,110.93,148.87
30,1,3,27,Agarvado,45.1,2427,C,417,476,1207,1220,143,136,11,7,0,0,964,887,644,136,4,0,0,0,9,1,71,1,13,1,103,12,34,0,233,29,61,1,116,91,22,31,541,1053,,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,0,1,1,0,0,1,0,0,Siolim,3,1,0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,109.82,7.29,150.44
30,2,3,4,Aglote,6419.52,915,D,182,192,450,465,70,59,2,4,0,0,294,218,175,110,52,46,12,28,34,21,19,0,6,0,12,8,2,0,5,0,21,0,12,7,17,24,258,331,,1,0,6,0,0,0,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,0,0,1,0,0,0,0,0,Ponda,23,1,0,0,0,1,765.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.89,592.78,127.04,147.79
30,2,5,2,Agonda,3335.42,3693,C,619,666,1912,1781,282,281,24,16,0,0,1100,700,965,213,523,81,77,34,21,0,5,0,23,3,66,13,81,29,50,10,19,1,100,42,39,137,908,1431,,1,0,5,2,2,0,0,6,0,0,2,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,0,0,1,1,0,0,0,0,Canacona,9,1,1,0,0,0,266.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.50,373.44,452.79,377.03
30,1,2,25,Aldona,178.71,498,D,93,95,245,253,28,24,57,58,0,0,187,139,130,88,50,58,17,10,0,0,0,0,3,12,15,3,10,0,7,0,10,0,18,5,0,0,115,165,,1,0,8,4,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,1,1,0,0,3,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,,0,1,1,0,0,1,0,0,Mapusa,8,1,0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.57,406.10,130.51,266.72
30,1,3,16,Alorna,189.7,518,D,111,111,259,259,26,25,8,8,0,0,213,143,143,45,23,9,21,9,1,0,2,0,23,9,12,5,4,0,17,1,4,0,36,12,3,60,113,154,,1,0,5,4,1,0,0,5,0,0,0,1,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,0,1,0,1,0,1,0,0,Mapusa,25,1,0,0,0,1,396.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.90,906.13,724.50,140.61
