State,District,Subdistt,Ward,Town/Village,Name,AREA,T_HH,Class,TOT_P,T_M,T_F,SC_P,SC_M,SC_F,ST_P,ST_M,ST_F,EDU_FAC,P_SCH,RANG_P_SCH,M_SCH,RANG_M_SCH,S_SCH,S_S_SCH,COLLEGE,RANG_COLL,IND_SCH,TR_SCH,ADLT_LT_CT,OTH_SCH,MEDI_FAC,ALL_HOSP,RANG_ALL,AYU_HOSP,UN_HOSP,HOM_HOSP,ALL_DISP,AYU_DISP,UN_DISP,HOM_DISP,MCW_CNTR,RANG_MCW,M_HOME,CWC,H_CNTR,PH_CNTR,RANG_PHC,PHS_CNT,FWC_CNTR,TB_CLN,N_HOME,RMP,SMP,CHW,OTH_CNTR,DRNK_WAT_F,RANG_WAT_F,TAP,WELL,TANK,TUBEWELL,HANDPUMP,RIVER,CANAL,LAKE,SPRING,OTHER,SOU_SUMM,RANG_SS,SS_CODE,P_T_FAC,POST_OFF,RANG_PO,TELE_OFF,POST_TELE,PHONE,RANG_PHONE,COMM_FAC,BS_FAC,RANG_BS,RS_FAC,RANG_RS,NW_FAC,RANG_NW,BANK_FAC,COMM_BANK,RANG_COMM,COOP_BANK,RANG_COOP,CRSOC_FAC,AC_SOC,RANG_ACS,NAC_SOC,RANG_NAC,OTHER_SOC,RANG_OTH,RC_FAC,C_V_HALL,RANG_CV,SP_CL_FAC,RANG_SPCL,ST_AU_FAC,RANG_STAU,APP_PR,APP_MR,APP_FP,APP_NAVRIV,APP_NAVCAN,APP_NW,NEAR_TOWN,DIST_TOWN,POWER_SUPL,POWER_DOM,POWER_AGR,POWER_OTH,POWER_ALL,PAP_MAG,NEWS_PAP,MAGAZINE,A_INCEXP,TOT_INC,TOT_EXP,MAN_COMM1,MAN_COMM2,MAN_COMM3,LAND_FORES,CANAL_GOVT,CANAL_PVT,WELL_WO_EL,WELL_W_EL,TW_WO_EL,TW_W_EL,TANK_IRR,RIVER_IRR,LAKE_IRR,W_FALL,OTH_IRR,TOT_IRR,UN_IRR,CULT_WASTE,AREA_NA_CU, DENSITY , SEX_1981 ,SEX_1991,SEX_2001,AVG_RAIN,MAX_TEMP,MIN_TEMP,STATE_H_NA,SH_DIST,DIST_H_NA,DH_DIST,HD_H_NA,SD_DIST,DIST_TH_HQ,TH_DIST,CITY_1LAKH,CITY_DIST,RAILWAY_ST,RAIL_DIST,BUS_ROUTE,BR_DIST,NAV_R_C,NAV_DIST,REC_TAX,REV_M_T,GOVT_GRANT,LOAN,ADVANCE,OTH_SOUR,TOT_REC,GEN_ADM,PUB_SAF,PUB_H_C,PUB_WORKS,PUB_INST,OTH_EXP,TOT_EXP, POPULATION , SC_POP , ST_POP ,K_ROAD,P_ROAD,SEWER, WATER_BOR , SERVICE , LAT_OTH ,METH_D_N_S,SOU_OF_SUP,SYS_STOR,STOR_CAP,FIRE_F_SER,F_F_NAME,DIST_F_SER, EL_DOM , EL_IND , EL_COM , EL_ROAD_L , EL_OTHERS ,HOSPITALS, HOS_BEDS ,HT_NAME,DISP,DISP_BEDS,DT_NAME,HEALTH_CTR,HC_BEDS,HCT_NAME,F_W_CTR,FWC_BEDS,FWCT_NAME,TB_CLINIC,TBC_BEDS,TBC_NAME,NUR_HOMES, NH_BEDS ,NHT_NAME,MED_OTH,OTHMI_BEDS,ARTS,SCIENCE,COMMERCE,ARTS_SCI,ARTS_COMM,ART_SC_CO,LAW,UNIV,OTH_COL,ASC_NEAR,MEDICAL,MEDI_NEAR,ENGG,ENGG_NEAR,POLYTECH,POLY_NEAR,VT_INST,SH_INST,TYPE_INST,SH_TYPE_IN,OTH_INST_S,S_SEC,SS_NEAR,SECONDARY,SEC_NEAR,MIDDLE,MID_NEAR,PRIMARY,PRIM_NEAR,ADULT_CNT,ALC_NEAR,OTH_CNTR,N_HOSTELS,N_SEATS,WWH_DIST,RC_FAC,STADIUM,CINEMA,AUDITORIUM,P_LIB,R_ROOMS,IMP_COM1,IMP_COM2,IMP_COM3,EXP_COMM1,EXP_COMM2,EXP_COMM3,MAN_COMM1,MAN_COMM2,MAN_COMM3,BANKS,A_C_SOC,N_A_C_SOC
30,02,0001,0001,00021400,Dabolim,741,826,C,3698,1956,1742,23,13,10,0,0,0,1,7,0,3,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,2,2,2,2,2,2,2,2,T,0,,1,2,0,0,0,15,0,1,1,0,1,0,2,2,2,0,1,0,2,2,0,2,0,1,0,2,1,0,2,1,0,0,2,1,1,1,2,2,2,CHICALIM,3,1,0,0,0,1,1,N,M,1,2760100,2760100,COCONUT,,,0.00,0.00,0.00,0.00,2.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.05,88.93,68.15,581.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,02,0001,0001,00021500,Sao Jacinto Island,15,33,D,163,83,80,0,0,0,0,0,0,2,0,1,0,1,0,0,0,2,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,1,2,2,2,2,2,2,2,2,T,0,,2,0,1,0,0,0,1,2,2,1,2,2,2,2,2,0,1,0,2,2,0,2,0,1,0,2,1,0,2,1,0,0,2,1,1,2,1,2,2,CHICALIM,4,1,0,0,0,1,1,N,M,1,2760100,2760100,COCONUT,FISH,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.15,9.83,1.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,02,0001,0001,00021600,Cortalim,833,1594,B,6970,3467,3503,8,6,2,0,0,0,1,8,0,3,0,1,0,0,2,0,0,0,0,1,0,3,0,0,0,1,0,0,0,0,3,0,0,0,1,0,1,1,1,0,9,0,0,0,1,0,1,1,1,1,2,2,2,2,1,2,T,0,,1,2,0,0,1,12,0,1,1,0,2,2,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,3,1,0,0,3,1,1,1,1,2,1,CHICALIM,12,1,0,0,0,1,1,N,M,1,7947100,7947100,COCONUTS,FISH,BAKERY PRODUCTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,44.64,44.64,348.51,165.06,275.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,02,0001,0001,00021700,Quelossim,1064,528,C,2556,1234,1322,3,1,2,0,0,0,1,2,0,0,1,0,0,0,2,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,1,1,2,2,2,2,2,2,2,2,T,0,,2,0,1,0,0,0,1,1,1,0,2,2,2,1,2,0,1,0,3,2,0,1,0,1,0,1,1,0,3,2,0,0,3,1,2,2,2,2,2,CHICALIM,13,1,0,0,0,1,1,N,M,1,7947100,7947100,COCONUTS,AREATED WATER,SOFT DRINKS,0.00,0.00,0.00,5.90,0.00,0.00,0.00,0.00,0.00,12.00,0.00,3.00,20.90,532.23,59.88,451.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,02,0001,0001,00021800,Cuelim,466,357,D,1672,796,876,3,2,1,0,0,0,1,4,0,0,1,0,0,0,2,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,1,1,2,2,2,2,2,2,2,2,T,0,,2,0,1,0,0,0,1,1,1,0,2,1,2,1,2,0,1,0,1,2,0,1,0,2,0,3,1,0,3,1,0,0,3,1,1,2,2,2,2,SANCOALE,5,1,0,0,0,1,1,N,M,1,623306,389343,COCONUTS,MANGOES,CASHEW NUTS,0.00,0.00,0.00,3.65,5.00,0.00,0.00,0.00,0.00,16.00,0.00,0.00,24.65,330.65,27.14,83.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,02,0001,0001,00021900,Pale,241,351,D,1606,793,813,3,2,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,2,2,2,2,2,2,2,2,T,0,,2,0,1,0,0,0,1,1,1,0,2,1,2,2,2,0,1,0,1,2,0,1,0,3,0,3,1,0,3,1,0,0,3,1,1,2,2,2,2,MORMUGAO,12,1,0,0,0,1,1,N,M,1,380776,304840,COCONUTS,CASHEW NUTS,TEAK WOOD,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.02,0.00,0.00,2.02,170.78,14.83,52.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,02,0001,0001,00022000,Issorcim,273,120,D,547,273,274,0,0,0,0,0,0,1,1,0,0,1,0,0,0,2,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,1,0,1,1,2,2,2,2,2,2,2,2,T,0,,2,0,1,0,0,0,1,1,1,0,2,1,2,2,2,0,2,0,2,2,0,2,0,2,0,2,2,0,2,0,1,0,2,1,1,2,2,2,2,CHICALIM,8,1,0,0,0,1,1,N,,1,386265,143579,COCONUTS,CASHEW NUTS,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,66.49,82.91,123.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,02,0001,0001,00022100,Chicolna,189,442,D,1903,943,960,8,5,3,0,0,0,1,1,0,0,2,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,2,2,2,2,2,2,2,2,T,0,,2,0,1,0,0,0,1,1,1,0,2,1,2,2,2,0,1,0,2,2,0,1,0,1,0,2,2,0,2,0,1,0,2,1,1,2,2,2,2,CHICALIM,8,1,1,2,2,2,1,N,,1,403759,96053,COCONUTS,CASHEW NUTS,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.03,3.03,33.33,14.76,137.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,02,0001,0001,00022200,Sao Jorge Island,94,0,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,0,0,0,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,02,0001,0001,00022300,Velsao,162,323,D,1431,695,736,2,1,1,0,0,0,1,3,0,1,0,1,0,0,2,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,1,0,0,1,0,0,0,1,0,1,1,2,2,2,2,2,2,2,2,T,0,,1,0,2,0,0,1,0,1,1,0,2,2,2,2,1,1,0,0,2,1,1,0,0,2,0,2,1,0,3,1,0,0,3,1,1,2,2,2,2,CHICALIM,10,1,0,0,0,1,1,N,M,1,380776,304840,COCONUTS,BAKERY PRODUCTS,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,126.26,2.83,32.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
