ID,FOREST,MANGROVE_FOREST,PRIVATE_FOREST,WATER_BODIES,PADDY_FIELDS/KHAZAN,ORCHARD,NATURAL_COVER,CULTIVABLE,SALT_PANS,FISH_FARM/MUD_FLATS,SETTLEMENT,INSTITUTIONAL,INDUSTRY,MIZ,TRANSPORTATION,MISC
001,0,0,11.73,3.89,15.96,24.71,11.73,20.35,0,0,9.1,0.03,0,0.41,2.09,0
002,0,0.66,0,9.94,11.07,48.48,5.47,2.7,1.97,3.36,15.39,0,0,0,0.96,0
003,0,0,0,4.35,15.74,23.79,31.79,9.28,0,0,10.31,0.11,0,0.48,4.14,0
004,0,0,0,10.83,15.52,48.96,6.7,0.73,0,0,16.58,0,0,0,0.67,0
005,29.24,0,0,2.18,6.94,3.21,11.43,12.33,0,0,9.09,0.2,0,0,25.4,0
006,23.2,0,6.36,4.06,14.55,11.05,6.36,27.29,0,0,6.66,0,0,0,0.46,0
007,0,0,0.74,1.41,9.18,27.91,19.4,12.34,0,0,5.6,0,0,0.27,23.16,0
008,14.51,0,1.24,2.44,9.3,29.4,0,11.77,0,0,6.29,0,0,0,25.04,0
009,0,0,0,2.09,5.82,67.25,0,4.42,0,0,16.34,0,0,0,4.08,0
010,0,0,0,2.83,15.89,52.82,9.82,4.09,0.59,0,12.54,0,0.15,0.51,0.74,0
011,18.57,0,1.72,1.69,11.55,12.97,22.18,9.78,0,0,5.26,0,0.63,0,15.66,0
012,0,3.43,0,6.79,10.12,58.26,0,1.62,0.16,1.77,10.77,6.62,0,0,0.45,0
013,21.04,0.89,0,3.34,25.42,7.13,10.21,23.48,0,0,7.5,0,0,0.32,0.66,0
014,0,0,0,5.1,12.45,30.32,5.13,37.44,0,0,7.03,0,0,0.67,1.85,0
015,0,0.26,3.12,6.52,16.1,17.17,21.44,18.01,0,0,13.54,0,0.44,0.35,3.05,0
016,0,0,0,0.44,8.09,32.81,29.87,10.47,0,0,14.98,0,0,0.51,2.83,0
017,0,0,0,1.8,20.52,28.37,9.56,20.88,0.35,0,17.55,0,0,0,0.97,0
018,0,1.2,0,7.24,14.99,54.83,0.73,2.3,0,0.38,7.24,0,10.11,0.39,0.59,0
019,0,0,0,1.64,13.23,55.44,0,2.32,0,0,19.48,0.03,0,0.18,7.69,0
020,0,1.06,0,6.22,12.96,60.09,0,0.17,0,7.66,10.54,0,0,0.37,0.93,0
021,0,0.25,0,4.65,16.71,52.1,3.23,0,0,0,22.59,0,0,0,0.47,0
