ID,FOREST,MANGROVE_FOREST,PRIVATE_FOREST,WATER_BODIES,PADDY_FIELDS/KHAZAN,ORCHARD,NATURAL_COVER,CULTIVABLE,SALT_PANS,FISH_FARM/MUD_FLATS,SETTLEMENT,INSTITUTIONAL,INDUSTRY,MIZ,TRANSPORTATION,MISC
001,0,1.67,0,3.83,8.34,18.76,30.24,0.43,0,0,24.32,6.97,0.29,0.25,3.47,1.43
002,31.67,0,0.47,1.68,3.54,23.07,23.75,0.84,0,0,12.16,0.12,1.84,0.11,0.77,0
003,0,0.45,0,10.82,12.84,21.98,24.27,0.29,0,0,25.59,0.25,0.3,1.34,1.87,0
004,0,1.54,0,6.21,19.34,18.81,28.01,0.21,0,0,12.56,0.61,10.74,0.57,1.39,0
005,0,0.26,0,4.49,12.1,29.38,31.89,0.57,0,0,17.96,0.76,0.08,1.05,1.45,0
006,0,1.27,0,6.47,25.3,19.58,17.42,1.2,0,0,15.26,1.39,10.3,0.38,1.42,0
007,32.6,0,0,2.18,2.32,12.94,17.56,0.14,0,0,26.75,0.86,3.32,0,1.35,0
008,0,16.48,0,15.58,4.96,38.88,10.09,0.54,0,0,12.29,0.06,0,0.68,0.44,0
009,0,0.94,0,18.43,28.84,17.1,6.46,0.11,0,0,17.01,0.63,9.3,0,1.17,0
010,15.46,0.35,0,4.61,10.68,26.66,26.34,2.97,0,0.06,10.4,0,0,0.38,2.1,0
011,6.3,0,0,1.13,1.01,7.75,53.66,1.81,0,0,15.15,0.95,10.78,0,1.45,0
012,13.44,0,0,0.8,4.67,10.26,25.62,0,0,0,41.49,0,0,1.02,2.7,0
013,0,0,0,2.28,5.58,30.59,44,0.56,0,0,15.09,0,0,0.78,1.12,0
014,20.52,0,0,5.35,13.84,15.96,26.35,0.48,0,0,15.85,0.23,0.72,0,0.71,0
015,0,3.58,0,5.5,15.86,21.22,18.16,0.08,0,0,32.11,0.45,0.59,0.69,1.77,0
016,7.82,0,2.06,1.77,4.8,13.63,43.81,1.64,0,0,21.57,0.13,1.26,0,1.51,0
017,0,0,0,13.58,45.37,4.56,2.18,2.41,0,0,29.03,0.89,0,0.54,1.44,0
018,0,0.8,0,3.15,14.27,42.72,15.73,3.21,0,0,17.88,0.67,0.01,0.73,0.82,0
019,0,0,0,0,2.97,11.65,0,0,0,0,77.36,4.3,0.15,0,3.56,0
