ID,FOREST,MANGROVE_FOREST,PRIVATE_FOREST,WATER_BODIES,PADDY_FIELDS/KHAZAN,ORCHARD,NATURAL_COVER,CULTIVABLE,SALT_PANS,FISH_FARM/MUD_FLATS,SETTLEMENT,INSTITUTIONAL,INDUSTRY,MIZ,TRANSPORTATION,MISC
001,0,0,0,0.9,31.22,42.37,9.35,0.1,0,0,13.95,0.16,0.44,0,1.51,0
002,0,0.55,0,4.45,22.33,12.97,8.12,26.04,0,0,18.57,0.48,1.84,0,4.66,0
003,0,0,0,4.17,31.16,7.17,4.83,20.85,0,0,30.06,0.14,0.09,0,1.53,0
004,28.71,0,0,1.83,0,44.14,15.84,0.25,0,0,6.08,0.32,0.15,0,2.69,0
005,62.03,0,0.26,1.17,5.46,15.51,13.25,0,0,0,1.66,0.08,0,0,0.59,0
006,66.92,0,3.46,1.12,3.67,10.42,11.37,0,0,0,1.94,0,0,0.06,1.04,0
007,5.66,0,0,2.86,34.7,16.06,1.29,10.09,0,0,24.55,0.28,2.82,0,1.68,0
008,0,0,0,0.08,4.78,68.89,13.43,0,0,0,11.31,0.2,0,0,1.32,0
009,22.45,0,4.59,3.18,9.45,26.51,26.03,1.85,0,0,5.21,0.04,0,0,0.7,0
010,25.83,0,0,1.03,10.55,21.05,36.15,0,0,0,4.5,0.25,0.19,0.11,0.34,0
011,22.67,0,0,3.45,4.99,34.31,18.78,0,0,0,7.64,0.01,7.14,0,1,0
012,1.99,0,0.46,3.43,19.9,27.33,4.39,0.89,0,0,36.66,1.42,1.48,0.4,1.65,0
013,0,0,0,0.26,34.61,22.23,14.07,7.84,0,0,18.06,0.03,1.47,0,1.44,0
