ID,FOREST,MANGROVE_FOREST,PRIVATE_FOREST,WATER_BODIES,PADDY_FIELDS/KHAZAN,ORCHARD,NATURAL_COVER,CULTIVABLE,SALT_PANS,FISH_FARM/MUD_FLATS,SETTLEMENT,INSTITUTIONAL,INDUSTRY,MIZ,TRANSPORTATION,MISC
001,5.22,0,1.49,4.49,9.47,21.31,43.21,4.28,0,0,8.94,0.07,0.1,0.33,1.09,0
002,54.85,0,0.65,3.36,4.23,8.8,20.72,1.84,0,0,4.86,0,0,0.1,0.59,0
003,60.29,0,0,2.25,4.69,13.35,13.58,1.24,0,0,4.11,0,0.07,0,0.42,0
004,25.27,0,0.4,4.55,3.82,9.51,33.62,4.95,0,0,16.87,0,0.16,0.18,0.67,0
005,12.51,0,5.53,1.46,7.05,27.33,21.89,1.51,0,0,15.02,0.28,6.07,0,1.36,0
006,55.27,0,0.34,1.94,5.39,4.74,24.78,0.79,0,0,6.26,0.02,0.03,0,0.45,0
007,30.45,0,0,1.81,10.97,3.96,6.15,36.96,0,0,8.41,0,0,0.6,0.69,0
008,81.9,0,1.51,2.36,1.49,1.56,7.58,0,0,0,3.18,0,0,0.03,0.39,0
009,21.24,0,0,2.4,5.39,32.26,25.97,0,0,0,8.3,0,3.44,0,0.99,0
010,0,0,0,2.56,2.99,11.31,44.26,19.52,0,0,16.55,1.41,0.13,0.32,0.96,0
011,39.89,0,0.59,6.49,6.26,0.88,31.23,7.64,0,0,6.35,0,0,0.13,0.54,0
012,85.99,0,0,1.9,1.51,2.13,6.35,0.36,0,0,1.54,0,0,0,0.23,0
013,0.59,0,0,5.18,7.1,17.07,34.9,0.76,0,0,29.5,1.13,0.39,0.58,2.81,0
