ID,FOREST,MANGROVE_FOREST,PRIVATE_FOREST,WATER_BODIES,PADDY_FIELDS/KHAZAN,ORCHARD,NATURAL_COVER,CULTIVABLE,SALT_PANS,FISH_FARM/MUD_FLATS,SETTLEMENT,INSTITUTIONAL,INDUSTRY,MIZ,TRANSPORTATION,MISC
001,0,0,1.28,3.89,16.72,15.04,32,0,0,0,26.45,0.36,0,0.85,3.41,0
002,0,0.51,0,5.14,50.72,3.53,12.68,0.65,8.77,0.15,16.05,0.21,0.31,0,1.3,0
003,0,10.32,0,0,19.87,12.54,41.89,0.04,0,0,12.21,0.22,0,0.03,2.89,0
004,0,0,0,4.4,1.97,18.45,21.53,0,0,0,48.06,1.56,0.89,0,3.14,0
005,0,16.84,0,13.7,32.11,8.57,5.16,0,0,1.91,20.23,0.19,0,0,1.29,0
006,0,1.49,0,9.34,25.65,2.66,1.47,0,0,0,39.56,0.34,17.37,0,2.12,0
007,0,0,1.6,5.12,8.8,18.73,14.6,0,0,0,24.51,24.5,0,0,1.36,0.77
008,0,20.58,0,32.26,31.99,2.39,0,0,0,0,11.42,0,0,0,1.37,0
009,0,2.33,0,9.21,29.21,13.42,10.55,0,0,0,32.62,0.97,0.18,0,1.52,0
010,0,14,0,5.23,25.11,13.16,14.46,0.43,4.53,0,20.84,0.36,0.08,0,1.8,0
011,0,12.39,3.13,11.29,50.29,3.24,7.37,0,0,0,8.27,0,0,0,4.02,0
012,0,5.34,0,26.93,40.71,2.89,0.71,0,0,1.52,17.95,0.11,0,0,3.85,0
013,0,4.23,0,59.36,2.86,14.59,5.19,0,0,0,12.82,0.09,0,0,0.87,0
014,0,0.92,3.52,8.65,6.52,22.77,10.83,0,0,0.86,32.47,10.58,1.02,0,1.86,0
015,0,3.23,0,42.59,15.94,7.89,2.14,0.15,3.87,0,18.86,3.83,0,0,1.51,0
016,0,0.32,0,27.97,26.92,3.3,6.48,0.02,1.58,0,20.34,11.02,0,0,2.05,0
017,0,5.23,0,52.44,28.55,2.74,0.02,0,0,0,9.88,0.05,0,0,1.07,0
018,0,3.32,0,46.61,19.61,7.07,0,0.12,0,0,20.58,0.17,0,0,2.52,0
019,0,0,0,66.64,1,6.31,0,0,0,0,18.55,3.71,0,0,3.78,0
020,0,0,0,62.49,10.45,0,0,0,0,0,24.63,0,0,0,5.44,0
