ID,FOREST,MANGROVE_FOREST,PRIVATE_FOREST,WATER_BODIES,PADDY_FIELDS/KHAZAN,ORCHARD,NATURAL_COVER,CULTIVABLE,SALT_PANS,FISH_FARM/MUD_FLATS,SETTLEMENT,INSTITUTIONAL,INDUSTRY,MIZ,TRANSPORTATION,MISC,UGS,UA (in %)
1,0,3.42,0,13.24,44.2,5.2,0,0,0,0,31.47,0.15,0,0,2.32,0,269.9516705,5.200259235
2,0,0,0,3.44,21.39,4.88,10.58,1.87,0,0,55.21,0,0,0,2.64,0,167.3308427,6.749565217
3,0,0.17,6.18,2.68,22.99,7.98,16.52,2.3,4.13,0,35.51,0,0,0,1.54,0,,
4,0,0,23.5,8.08,0,10.76,23.84,0.47,0,0,30.19,1.25,0,0,1.91,0,,
5,0,6.41,0,4.39,12.93,31.15,12.14,1.67,0,0,26.7,0.95,0.86,0.89,1.89,0,,
6,0,8.31,0,6.18,49.06,0.73,5.66,1.86,0,0,24.8,0.52,0.24,0,2.64,0,,
7,0,0.17,0,2.4,2.81,35.06,9.64,0.26,1.25,0,46.24,0.44,0,0,1.71,0,83.24402607,36.56369427
8,0,2,0,15.83,7.12,28.56,21.92,0,0,0,22.79,0,0,0.67,1.1,0,,
9,0,6.63,0,8.2,8.72,7.47,18.1,2.12,0,0,45.47,0.13,0,0.54,2.62,0,319.2470588,9.593446602
10,0,4.33,0,10.41,12.21,25.18,1.18,10.3,0,0,20.84,6.96,5.61,0,2.98,0,334.6201743,35.46396841
11,0,0,0,4.94,56.81,0.88,2.36,0.38,0,0,31.27,0,0.22,0,3.15,0,59.92851469,1.258454106
12,0,3.21,0,13.5,27.3,1.28,2.61,0,0,0,50.79,0,0,0,1.31,0,177.1342173,1.276649746
13,0,0,6.21,0.39,7.4,1.08,16.95,0,0,0,51.48,0.71,0,1,14.77,0,,
14,0,0,0,8.6,6.74,32.05,25.77,16.08,0,0,9.45,0,0,0,1.31,0,,
15,0,2.87,0,16.01,23.78,11.29,5.63,0,6.51,0,30.14,2.47,0,0,1.31,0,216.6798889,17.79147982
16,0,8.91,0,5.89,33.14,8.38,16.01,0.09,0,0,26.26,0.15,0,0,1.18,0,,
17,0,0,0,0.94,48.72,2.14,15.92,1.03,0,0,29.95,0.2,0,0,1.09,0,,
18,0,0,11.02,17.99,2.6,2.61,5.04,0,0,0,50.28,7.68,0.1,0,2.68,0,111.8172337,2.611111111
19,0,3,2.5,4.03,19.23,10.96,9.72,0,1.56,0,39.35,0.23,5.95,0,3.46,0,218.4005118,12.51183766
20,0,0,0,1.55,10.82,45.3,11.9,15.73,0,0,13.93,0.02,0,0,0.75,0,,
